,CertainAmount,Outcome1,Outcome2,isHappyBlock,Happiness,Outcome,time,subject_id,InterpHappiness,MoodTarget,Expected,Actual,CertCol,ExpectedCol,RPECol,Gamble,RutC,RutE,RutR,block
30,0.51,1.975,-0.955,False,,win,30,10001,0.76,0.07,0.51,1.975,0.0,0.51,1.465,1.0,0.0,0.51,1.465,2
31,-6.995,0.325,-14.315,False,0.7,lose,31,10001,0.7,0.07,-6.995,-14.315,0.0,-6.995,-7.319999999999999,1.0,-0.0,-6.995,-7.319999999999999,2
32,-7.225,0.025,-14.475,False,,lose,32,10001,0.7,0.07,-7.225,-14.475,0.0,-7.225,-7.25,1.0,-0.0,-7.225,-7.25,2
33,-0.325,1.125,-1.775,False,,win,33,10001,0.7,0.07,-0.32499999999999996,1.125,0.0,-0.32499999999999996,1.45,1.0,-0.0,-0.32499999999999996,1.45,2
34,-7.275,0.675,-15.225,False,,certain,34,10001,0.7,0.07,-7.2749999999999995,-7.275,-7.275,0.0,0.0,0.0,-7.275,-0.0,0.0,2
35,1.966666667,3.475,0.45833333299999995,False,,win,35,10001,0.7,0.07,1.9666666665,3.475,0.0,1.9666666665,1.5083333335,1.0,0.0,1.9666666665,1.5083333335,2
36,-6.575,2.075,-15.225,False,0.67,certain,36,10001,0.67,0.07,-6.574999999999999,-6.575,-6.575,0.0,0.0,0.0,-6.575,-0.0,0.0,2
37,1.3620833330000002,2.875,-0.150833333,False,,win,37,10001,0.67,0.07,1.3620833335,2.875,0.0,1.3620833335,1.5129166665,1.0,0.0,1.3620833335,1.5129166665,2
38,-8.635,0.475,-17.745,False,0.66,certain,38,10001,0.66,0.07,-8.635,-8.635,-8.635,0.0,0.0,0.0,-8.635,-0.0,0.0,2
39,-8.645,0.725,-18.015,False,,lose,39,10001,0.66,0.07,-8.645,-18.015,0.0,-8.645,-9.370000000000001,1.0,-0.0,-8.645,-9.370000000000001,2
40,-10.075,-0.375,-19.775,False,,certain,40,10001,0.66,0.07,-10.075,-10.075,-10.075,0.0,0.0,0.0,-10.075,-0.0,0.0,2
41,-9.605,0.425,-19.635,False,,certain,41,10001,0.66,0.07,-9.605,-9.605,-9.605,0.0,0.0,0.0,-9.605,-0.0,0.0,2
42,-8.935,1.425,-19.295,False,0.35,lose,42,10001,0.35,0.07,-8.935,-19.295,0.0,-8.935,-10.360000000000001,1.0,-0.0,-8.935,-10.360000000000001,2
43,-6.34,2.025,-14.705,False,,certain,43,10001,0.35,0.07,-6.34,-6.34,-6.34,0.0,0.0,0.0,-6.34,-0.0,0.0,2
44,-6.015,2.525,-14.555,False,0.4,certain,44,10001,0.4,0.07,-6.015,-6.015,-6.015,0.0,0.0,0.0,-6.015,-0.0,0.0,2
45,-5.665,3.425,-14.755,False,,certain,45,10001,0.4,0.07,-5.665000000000001,-5.665,-5.665,0.0,0.0,0.0,-5.665,-0.0,0.0,2
46,-9.065,0.225,-18.355,False,,certain,46,10001,0.4,0.07,-9.065,-9.065,-9.065,0.0,0.0,0.0,-9.065,-0.0,0.0,2
47,-0.0825,1.175,-1.34,False,,win,47,10001,0.4,0.07,-0.08250000000000002,1.175,0.0,-0.08250000000000002,1.2575,1.0,-0.0,-0.08250000000000002,1.2575,2
48,-8.765,0.925,-18.455,False,0.4,lose,48,10001,0.4,0.07,-8.764999999999999,-18.455,0.0,-8.764999999999999,-9.69,1.0,-0.0,-8.764999999999999,-9.69,2
49,-7.215,2.675,-17.105,False,0.35,certain,49,10001,0.35,0.07,-7.215,-7.215,-7.215,0.0,0.0,0.0,-7.215,-0.0,0.0,2
50,-6.54,3.175,-16.255,False,,lose,50,10001,0.35,0.07,-6.539999999999999,-16.255,0.0,-6.539999999999999,-9.715,1.0,-0.0,-6.539999999999999,-9.715,2
51,-10.115,-0.225,-20.005,False,,certain,51,10001,0.35,0.07,-10.115,-10.115,-10.115,0.0,0.0,0.0,-10.115,-0.0,0.0,2
52,-10.09,-0.025,-20.155,False,,certain,52,10001,0.35,0.07,-10.09,-10.09,-10.09,0.0,0.0,0.0,-10.09,-0.0,0.0,2
53,-9.465,0.775,-19.705,False,0.45,certain,53,10001,0.45,0.07,-9.465,-9.465,-9.465,0.0,0.0,0.0,-9.465,-0.0,0.0,2
54,-0.475,7.3,-0.95,True,,win,54,10001,0.45,0.9550000000000001,3.175,7.3,0.0,3.175,4.125,1.0,-0.0,3.175,4.125,3
55,-2.5,1.9,-6.9,True,0.65,certain,55,10001,0.65,0.9550000000000001,-2.5,-2.5,-2.5,0.0,0.0,0.0,-2.5,-0.0,0.0,3
56,-0.325,5.7,-0.65,True,,win,56,10001,0.65,0.9550000000000001,2.525,5.7,0.0,2.525,3.1750000000000003,1.0,-0.0,2.525,3.1750000000000003,3
